"checkoutyear","SUM_checkouts"
"2005","3794726"
"2006","6582479"
"2007","7092007"
"2008","8374541"
"2009","9035838"
"2010","8425046"
"2011","7784795"
"2012","7299124"
"2013","7864260"
"2014","7416879"
"2015","6871626"
"2016","6568318"
"2017","6479434"
"2018","6102655"
"2019","5768324"
"2020","1743701"
"2021","2966650"
"2022","3710181"
