"SUM_checkouts","publicationyear"
"20","[2002], c1972]"
"5","[2002, c1982]"
"31","[2002, c1992]"
"5","[2002, c1993]"
"6","[2002, c1994]"
"7","[2002, c1999]"
"7","[2002, c2001]"
"6","[2002, c2003]"
"1","2002 i.e. 2009."
"2","2002 (i.e., 2010)"
"2","[2002, p1960]"
"53","[2002, p1964]"
"54","[2002, p1966]"
"38","[2002, p1967]"
"41","[2002, p1968]"
"71","[2002, p1969]"
"34","[2002, p1974]"
"23","[2002, p1975]"
"17","[2002, p1977]"
"10","[2002, p1979]"
"6","[2002, p1982]"
"5","[2002, p1986]"
"5","[2002, p1989]"
"3","[2002], p1990]"
"8","[2002, p1994]"
"11","[2002, p1996]"
"4","[2002], p1997."
"15","[2002, p1999]"
"9","[2002, p2001]"
"37","[2002], p2001]"
"5","[2002, p2002]"
"6","[2002 [that is, 2001]"
"13","2003"
"76","[©2003]"
"585","[2003?]"
"36244","[2003]"
"13","[2003]."
"17","©2003"
"971","©2003."
"173","℗2003."
"20","2003-"
"20606","2003."
"3","2003, 1953."
"8","2003, 1964."
"8","2003, ©1973."
"36","[2003], ©1974."
"9","2003, ©1978."
"22","[2003, 1980]"
"30","[2003, 1981]"
"21","©2003, ℗1982."
"3","[2003], ©1986."
"17","2003, ©1987."
"10","2003, ©1991."
"27","2003,1994."
"3","[2003], ©1995."
"6","2003, 1996."
"4","2003, ©1997."
"8","2003, ©1998."
"20","[2003, 1999]"
"29","[2003]-©1999."
"19","[2003], ©1999."
"21","[2003], ℗1999."
"10","[2003], ©2001."
"11","2003, ©2001."
"2","[2003, 2002]"
"43","2003, ©2002."
"6","2003, 2002."
"1","[2003, 2004]"
"12","2003, 2004."
"5","[2003, 2005]"
"2","[2003-2005 [2003?]"
"2","2003-2008."
"7","[2003-2008 [2003?]"
"3","[2003-2008. [that is, 2003]"
"8","[2003, 2009]"
"3","2003 [2010 or 2011]"
"10","[2003, 2011]"
"10","[2003,] [2013]"
"1","2003 Ā.Me, i.e. 2010 or 2011."
"1","[2003 ʻĀ.Me., i.e. 2011]"
"15","[2003, c1929]"
"3","[2003, c1953]"
"25","[2003, c1967]"
"13","2003, c1972."
"8","[2003, c1979]"
"1","2003, c1980."
"98","[2003, c1991]"
"5","[2003, c1994]"
"10","[2003, c1996]"
"18","[2003, c2000]"
"2","2003, c2000."
"20","2003, c2001."
"30","[2003, c2002]"
"13","2003, c2002."
"4","[2003, c2003]"
"5","[2003, p1974]"
"19","[2003, p1975]"
"24","[2003, p1976]"
"22","[2003, p1977]"
"34","[2003, p1979]"
"55","[2003, p1980]"
"23","[2003, p1987]"
"21","[2003, p1990]"
"15","[2003, p1996]"
"3","[2003], p1999]"
"17","[2003, p2001, c1969]"
"41","[2003, p2005]"
"8","2003, v1993."
"182","2004"
"504","[2004?]"
"40","[2004.]"
"41662","[2004]"
"8","[2004]."
"14","[2004]]"
"811","©2004."
"282","℗2004."
"2","2004-"
"42","2004,"
"26251","2004."
"15","2004, 1938."
"7","[2004], 1967."
"8","[2004, 1968]"
"2","[2004], ©1973."
"23","[2004], ℗1978."
"14","©2004, ©1978."
"12","2004, ©1981."
"9","[2004], ©1983."
"33","℗2004, ℗1983."
"6","2004, ©1984."
"8","2004, 1984."
"11","©2004, ℗1985."
"3","2004, ©1985."
"5","2004, 1987."
"9","[2004, 1988]"
"13","[2004], ℗1988."
"13","2004, ©1988."
"1","[2004, 1991]"
"19","©2004, 1991."
"1","2004, 1993."
"21","©2004; 1994"
"1","[2004], 1995."
"5","℗2004, ©1997."
"6","2004, ©2000."
"86","2004, ©2001."
"41","2004, 2001."
"10","[2004], ©2002."
"17","2004, ©2002."
"9","[2004, 2003]"
"165","[2004], ©2003."
"270","2004, ©2003."
"23","[2004, 2005]"
"6","2004 [2012]"
"1","[2004 ʻĀ. Me. [2011 or 2012]]"
"1","[2004 ʻĀ. Me.] [2011 or 2012]"
"16","[2004, c1967]"
"6","[2004, c1989]"
"3","[2004, c1991]"
"4","[2004, c1993]"
"1","[2004, c2002]"
"39","[2004], c2002."
"23","[2004, c2003]"
"1","2004, c2003."
"21","[2004, c2011]"
"2","[2004 or 2005]."
"21","[2004, p1979]"
"17","[2004, p1983]"
"1","[2004, p1988]"
"2","[2004, p1990]"
"23","[2004, p1992-1993]"
"6","[2004, p1994]"
"34","[2004, p1996]"
"5","[2004, p2002]"
"8","[2004], p2002]"
"3","[2004], p2003]"
"18","2004, pc1983."
"3","2004 [that is, 2003]"
"37106","2005"
"1","-[2005]"
"3","[©2005]."
"401","[2005?]"
"44126","[2005]"
"1","[2005]-"
"95","[2005]."
"5","©2005"
"522","©2005."
"249","℗2005."
"3","2005-"
"4","2005- ."
"31809","2005."
"7","[2005], ©1935."
"8","2005, ©1965."
"6","[2005?], 1971."
"28","[2005], 1972."
"3","[2005], ©1975."
"47","[2005], ℗1975."
"1","[2005], 1975."
"9","[2005?], ©1976."
"26","[2005, 1977]"
"2","[2005], 1979."
"76","[2005, 1980]"
"17","[2005, [1981]"
"1","[2005], ©1986."
"17","2005, ©1986."
"2","[2005, 1987]"
"6","2005, ©1987."
"5","[2005?], 1989."
"1","[2005], 1989."
"11","[2005], 1990."
"24","2005, ©1993."
"27","[2005], ©1995."
"36","2005, ©1995."
"56","2005, 1996."
"18","2005, ©1997."
"11","2005, ©1998."
"40","[2005], ©1999."
"106","2005, ©1999."
"27","2005, ©2001."
"48","[2005], ©2002."
"33","2005, ©2002."
"65","©2005, ℗2003."
"38","2005, ©2003."
"23","[2005], ©2004."
"36","2005, [2004]"
"60","2005, ©2004."
"5","2005-2006."
"5","[2005, 2008]"
"5","2005-2009."
"1","2005 [2012]"
"88","[2005, c1968]"
"2","2005, c1977."
"11","[2005, c1992]"
"4","[2005,c1992]"
"2","[2005, c1993]"
"2","[2005,c1993]"
"22","[2005, c2004]"
"1","[2005], c2004]"
"16","2005, c2004."
"12","[2005, c2006]"
"2","[2005, c2013]"
"8","2005 [i.e. 2013]"
"1","2005 [i.e., 2013]"
"11","[2005, p1963]"
"7","[2005, p1969]"
"7","[2005, p1983]"
"2","[2005, p1989]"
"10","[2005, p1990]"
"7","[2005], p1990]"
"14","[2005, p1991]"
"10","[2005, p1992]"
"2","[2005, p1996]"
"21","[2005, p1998]"
"2","[2005, p1999]"
"6","[2005, p2000]"
"4","[2005, p2002]"
"4","[2005, p2004]"
"21","[2005], p2004]"
"7","2005 (second printing)"
"36431","2006"
"48","[©2006]"
"458","[2006?]"
"2","[2006?]."
"51549","[2006]"
"4","[2006] ."
"22","[2006]."
"1225","©2006."
"203","℗2006."
"9","2006-"
"43710","2006."
"17","2006]"
"50","[2006, 1926]"
"41","2006, ©1957."
"27","[2006, 1958]"
"4","[2006, 1971]"
"6","2006, ©1976."
"31","[©2006], ℗1984."
"17","©2006, ℗1987."
"32","2006, 1987."
"6","℗2006, ℗1989."
"3","2006, ©1990."
"13","℗2006, ℗1991."
"26","2006, 1995."
"30","2006, 1996."
"18","[2006, 1997]"
"24","[2006], 1997."
"21","©2006, ©1997, ©1984."
"1","[2006, 1998]"
"3","2006, ©1999."
"24","2006, ©2000."
"30","2006, 2000."
"7","2006, ©2001."
"2","[2006], 2002."
"2","2006, ©2002."
"62","[2006], ©2004."
"112","2006, ©2004."
"8","[2006], ©2005."
"3","©2006. 2005."
"208","2006, ©2005."
"12","2006, 2005."
"65","[2006, 2007]"
"1","2006-<2007>"
"9","2006, ©2007."
"7","[2006, 2008]"
"8","2006, [2010]"
"3","2006 [ʻĀ.Me.]; i.e. 2013 or 2014."
"6","[2006, c1951]"
"4","[2006, c1982]"
"25","[2006, c1985]"
"1","2006, c1991."
"41","[2006, c1996]"
"31","2006, c2000."
"11","2006, c2001."
"2","[2006], c2005]"
"27","2006, c2005."
"6","[2006, c2006]"
"1","[2006 [distributed 2008]"
"1","2006 i.e. [2013 or 2014]."
"3","2006 [i.e., 2015]."
"2","[2006 or 2007]."
"7","[2006, p1950]"
"5","[2006, p1951]"
"2","[2006], p1971]"
"2","[2006], p1983]"
"21","[2006, p1985]"
"13","[2006, p1987]"
"15","[2006], p1990]"
"8","[2006, p1992]"
"2","[2006, p1994]"
"2","[2006, p1995]"
"38","[2006, p1997]"
"9","[2006], p1997]"
"4","[2006, p1998]"
"12","[2006, p2001]"
"1","[2006, p2002]"
"8","[2006], p2002]"
"9","[2006, p2004]"
"3","[2006, p2005]"
"18","[2006], p2005]"
"43964","2007"
"255","[2007?]"
"56208","[2007]"
"25","[2007]."
"21","©2007"
"1227","©2007."
"297","℗2007."
"23","2007-"
"43782","2007."
"5","[2007?, 1912?]"
"29","2007, ©1963."
"1","[2007, 1965]"
"15","℗2007, ©1968."
"2","[2007, [1969?]"
"29","[2007, 1973]"
"4","[2007, 1977]"
"4","[2007, 1981]"
"4","[2007], ℗1983."
"71","2007, 1984."
"9","[2007], ©1987."
"1","2007, 1988."
"30","[2007], ©1990."
"32","2007, ©1990."
"1","2007, 1994."
"4","2007, ©1995."
"3","©2007, ℗1997."
"42","2007, ©1997."
"32","[2007], ©1998."
"23","©2007, ℗1998."
"27","[2007], ©1999."
"118","[2007], 1999."
"39","[2007], ©2001."
"82","[2007], ©2003."
"12","2007, ©2003."
"13","[2007, 2004]"
"101","2007, ©2004."
"9","[2007, 2005]"
"16","[2007], 2005."
"66","2007, ©2005."
"8","[2007, 2006]"
"15","[2007], ©2006."
"21","©2007, ©2006."
"6","©2007, ℗2006."
"10","℗2007, ℗2006."
"258","2007, ©2006."
"15","2007, 2006."
"3","[2007, 2008]"
"1","2007,2009."
"5","2007, 2010."
"6","[2007, 2012]"
"1","2007 [2013 or 2014]."
"4","2007 [2014 or 2015]"
"27","[2007, c1953]"
"5","[2007, c1960]"
"9","[2007, c1971]"
"12","[2007, c1975]"
"2","2007, c1978."
"1","[2007, c1981]"
"50","[2007, c1987]"
"35","[2007, c1989]"
"33","2007, c1990."
"80","2007, c1991."
"20","[2007, c1996]"
"14","[2007, c1997]"
"17","[2007], c1998."
"4","[2007, c1999]"
"4","[2007, c2000]"
"6","[2007, c2001]"
"2","[2007, c2004]"
"11","[2007, c2005]"
"1","2007, c2005."
"3","[2007, c2006]"
"68","2007, c2006."
"18","[2007, c2011]"
"9","[2007, c2015]"
"1","2007 [i.e., 2014]."
"2","2007 [i.e., 2015]"
"5","2007 i.e. 2015"
"2","[2007, p1968]"
"15","[2007, p1969]"
"58","[2007, p1977]"
"29","[2007, p1978]"
"4","[2007, p1980]"
"5","[2007, p1981]"
"10","[2007, p1986]"
"6","[2007,p1993]"
"5","[2007, p1996]"
"62","[2007, p1997]"
"11","[2007, p1999]"
"5","[2007], p1999]"
"8","[2007, p2001]"
"5","[2007, p2002]"
"10","[2007, p2003]"
"12","[2007, p2006]"
"4","[2007], p2006]"
"88553","2008"
"62","[©2008]"
"468","[2008?]"
"272","[2008?]."
"3","[2008.]"
"62689","[2008]"
"68","[2008]."
"9","©2008"
"1619","©2008."
"367","℗2008."
"1","2008-"
"49469","2008."
"6","2008, 1925."
"48","[2008], ©1968."
"33","[2008], ℗1973."
"8","[2008, 1977]"
"18","[2008], 1980."
"17","2008, ©1985."
"9","2008, ©1986."
"9","[2008, 1987]"
"4","2008, ©1988."
"2","2008, 1988."
"1","[2008,] [1991]"
"10","[2008], 1991."
"4","2008, 1991."
"3","[2008, 1994]"
"1","2008, ©1995-2007."
"8","[2008, 1997]"
"16","[2008], ©1999."
"15","[2008, 2000]"
"4","2008, 2000."
"65","2008, ©2001."
"9","2008, ©2002."
"4","2008, ©2003."
"129","2008, 2003."
"26","©2008, ©2004."
"9","2008, 2004."
"10","2008, ©2005."
"5","2008, 2005."
"81","2008, ©2006."
"9","2008, 2006."
"16","[2008, 2007]"
"27","[2008], ©2007."
"5","[2008], ℗2007."
"232","2008, ©2007."
"10","2008, 2007."
"21","[2008], ©2008."
"17","[2008 ;] [2009]"
"1","[2008, 2009]"
"4","2008 [2009]"
"2","2008-2010."
"3","[2008, [2013]"
"4","[2008, c1936]"
"1","[2008, c1961]"
"10","2008, c1971."
"12","[2008?], c1975."
"3","[2008, c1981]"
"13","2008, c1991."
"37","2008, c1992."
"30","[2008, c1993]"
"2","[2008, c1994]"
"4","[2008, c1996]"
"14","[2008, c1999]"
"6","2008, c1999."
"4","[2008, c2000]"
"2","[2008], c2001."
"4","[2008], c2001]"
"8","2008, c2002."
"18","[2008, c2004]"
"1","[2008. c2004]"
"16","[2008, c2005]"
"8","[2008, c2006]"
"7","2008, c2006."
"5","[2008, c2007]"
"31","2008, c2007."
"2","[2008, c2009]"
"3","2008 [i.e., 2016]"
"2","2008 [i.e., 2018]."
"1","[2008], p1969]"
"3","[2008], p1973]"
"4","[2008, p1975]"
"2","[2008, p1976]"
"14","[2008, p1980]"
"7","[2008, p1981]"
"2","[2008, p1983]"
"15","[2008], p1986]"
"2","[2008, p1988]"
"2","[2008, p1990]"
"22","[2008], p1995]"
"6","[2008, p1996]"
"7","[2008, p2000]"
"4","[2008, p2003]"
"2","[2008, p2005]"
"13","[2008, p2006]"
"9","[2008], p2006]"
"37","[2008, p2007]"
"1","2008, pc2003."
"1","[2008 [that is, 2007]"
"29","[2008, [that is, 2007]"
"4","2008, [that is, 2007]"
"8","[2008 [that is, 2009]"
"119501","2009"
"58","[ 2009]"
"90","[©2009]"
"282","[2009?]"
"75084","[2009]"
"52","[2009]."
"10","©2009"
"1737","©2009."
"358","℗2009."
"1","2009-"
"1","2009?."
"54284","2009."
"74","[2009], ©1934."
"19","[2009, 1970]"
"98","[2009, 1981]"
"4","2009, 1981."
"70","[2009], ©1985."
"3","[2009, 1987]"
"19","[2009, 1995]"
"10","[2009], ©1995."
"23","[2009], ©1997."
"4","2009, ©1997."
"6","[2009], ℗1998."
"23","2009, ©1998."
"3","[2009], ©1999."
"24","2009, ©1999."
"6","2009, ©2001."
"30","[2009], 2002."
"5","[2009, 2003]"
"15","[2009], 2003."
"43","2009, ©2003."
"5","2009, 2004."
"3","[2009], ©2005."
"53","2009, ©2005."
"7","[2009], 2006."
"16","©2009, ©2006."
"18","2009, ©2006."
"2","[2009, 2007]"
"3","[2009], ©2007."
"103","2009, ©2007."
"58","[2009, 2008]"
"126","[2009], ©2008."
"27","2009, [2008]"
"267","2009, ©2008."
"7","2009, 2008."
"9","2009., ©2008."
"3","[2009, 2016]"
"13","2009, 2019."
"18","[2009, c1933]"
"12","[2009], c1967."
"3","[2009, c1981]"
"12","[2009, c1987]"
"20","[2009, c1997]"
"9","[2009, c1999]"
"23","2009, c1999."
"56","[2009, c2002]"
"2","[2009, c2005]"
"1","[2009, c2007]"
"4","2009, c2007."
"5","[2009, c2008]"
"36","[2009], c2008."
"88","2009, c2008."
"9","[2009, c2010]"
"12","2009 [i.e., 2017]."
"3","2009, [i.e. 2017]."
"18","[2009, p1974]"
"15","[2009, p1975]"
"16","[2009], p1975]"
"5","[2009, p1987]"
"3","[2009, p1989]"
"3","[2009], p1991]"
"80","[2009, p1992]"
"3","[2009, p1993]"
"1","[2009, p1996]"
"5","[2009], p1996]"
"2","[2009, p1997]"
"17","[2009, p1998]"
"6","[2009, p2003]"
"1","[2009, p2005]"
"3","[2009, p2007]"
"3","[2009, p2008]"
"1","[2009], p2008]"
"5","[2009, [that is, 2008]"
"14","2009, [that is, 2008]"
"2","[2009 [that is, 2010]"
"6","[201-?]"
"12","[201-?],"
"128847","2010"
"31","[©2010]"
"29","[©2010]."
"343","[2010?]"
"87682","[2010]"
"3","[2010]."
"1770","©2010."
"265","℗2010."
"2","2010-"
"1","2010,"
"76607","2010."
"3","2010, 1910."
"45","2010, ©1958."
"14","2010, ©1982."
"3","2010, 1983."
"118","[2010], ©1986."
"11","[2010], 1987."
"3","[2010], [1989]"
"1","2010, ©1989."
"68","2010, 1993."
"8","2010, ©1994."
"2","[2010], 1998."
"58","2010, ©1999."
"4","2010, ©2000."
"26","[2010, 2002]"
"1","2010, 2002."
"8","[2010], ℗2003."
"16","2010, [©2003]"
"102","2010, ©2004."
"18","[2010], ©2006."
"42","2010, ©2007."
"51","[2010], 2008."
"61","2010, ©2008."
"1","2010, 2008."
"5","[2010, 2009]"
"60","[2010], ©2009."
"367","2010, ©2009."
"15","2010, 2009."
"66","[2010], ©2010."
"4","2010, ©2010."
"1","[2010, 2011]"
"1","2010, 2011"
"43","[2010 ;] [2012]"
"5","[2010, c1966]"
"9","[2010, c1968]"
"8","[2010], c1970."
"2","[2010, c1978]"
"17","[2010, c1982]"
"4","[2010, c1988]"
"11","2010, c1988."
"1","[2010, c1991]"
"1","[2010, c1997]"
"2","[2010, c2002]"
"14","[2010, c2003]"
"18","2010, c2003."
"1","[2010, c2004]"
"8","2010, c2004."
"5","2010, c2005."
"1","2010, c2006."
"2","[2010, c2007]"
"2","[2010, c2008]"
"31","2010, c2008."
"2","[2010, c2009]"
"12","[2010], c2009."
"57","2010, c2009."
"11","[2010, c2012]"
"4","[2010, p1975]"
"4","[2010, p1988]"
"2","[2010, p1989]"
"8","[2010, p1990]"
"20","[2010, p1992]"
"5","[2010, p1997]"
"5","[2010, p1999]"
"5","[2010, p2001]"
"1","[2010], p2001]"
"89","[2010, p2002]"
"39","[2010, p2003]"
"12","[2010, p2005]"
"16","[2010, p2006]"
"17","[2010, p2008]"
"1","[2010], p2008]"
"2","[2010, p2009]"
"38","2010, [that is, 2009]"
"218023","2011"
"2","[©2011]"
"11","[2011 +]"
"373","[2011?]"
"2","[2011?]."
"87027","[2011]"
"73","[2011]."
"1685","©2011."
"265","℗2011."
"3","2011-"
"73","2011,"
"14","2011/."
"88237","2011."
"1","2011]"
"40","2011, ©1946."
"7","2011, ©1957."
"61","2011, ©1963."
"7","[2011, [1970]"
"2","2011, ©1980."
"6","2011, ©1987."
"46","[2011], ©1988."
"16","[2011, 1991]"
"27","[2011], ©1993."
"2","©2011, ℗1994."
"23","2011, ©1996."
"7","2011, ©1997."
"12","[2011], [1998]"
"22","2011, ©1999."
"17","[2011], ©2000."
"29","2011, ©2000."
"5","2011, 2000."
"17","[2011], ℗2001."
"8","2011, ©2002."
"5","[2011, 2003]"
"4","2011, [2003]"
"56","2011, ©2003."
"4","[2011], 2005."
"6","2011, ©2005."
"32","[2011], ℗2006."
"1","2011, ©2006."
"10","[2011], 2007."
"38","2011, ©2007."
"1","[2011], ©2008."
"28","2011, ©2008."
"1","[2011, [2009]"
"7","[2011], ©2009."
"3","[2011], 2009."
"5","©2011, ℗2009."
"28","2011, ©2009."
"10","2011, 2009."
"16","[©2011], ©2010."
"19","[2011, 2010]"
"125","[2011], ©2010."
"199","2011, ©2010."
"116","2011, 2010."
"14","2011,© 2010."
"4","[2011], ℗2010, ©2011."
"13","[2011], ©2011."
"244","©2011, 2014."
"24","[2011] :. [2015]"
"40","2011, c1936."
"2","[2011, c1967]"
"26","[2011, c1975]"
"31","[2011, c1985]"
"2","[2011], c1986."
"1","[2011, c2003]"
"4","[2011, c2004]"
"3","[2011], c2004."
"25","2011, c2005."
"2","[2011, c2006]"
"7","[2011, c2007]"
"17","[2011, c2008]"
"2","[2011], c2009]"
"8","2011, c2009."
"31","[2011, c2010]"
"12","[2011], c2010."
"12","2011, c2010."
"20","[2011, c2012]"
"7","[2011], p1967]"
"3","[2011], p1976]"
"22","[2011, p1979]"
"11","[2011, p1981]"
"7","[2011, p1988]"
"11","[2011], p1989]"
"7","[2011], p1991]"
"2","[2011, [p1992]"
"28","[2011, p1992]"
"12","[2011, p1993]"
"3","[2011], p1997]"
"1","[2011, p1998]"
"5","[2011], p2001]"
"12","[2011, p2002]"
"53","[2011, p2004, 2003]"
"52","[2011, p2005]"
"1","[2011], p2007]"
"24","[2011, p2008]"
"3","[2011, p2009]"
"15","[2011], p2009]"
"35","[2011, p2010]"
"9","[2011], p2010]"
"168961","2012"
"2","[©2012.]"
"5","[©2012]"
"10","[2012 +]"
"549","[2012?]"
"25","[2012?]."
"109285","[2012]"
"19","[2012],"
"66","[2012]."
"23","©2012"
"1772","©2012."
"222","℗2012."
"105","2012,"
"96721","2012."
"3","2012]"
"6","2012, 1962."
"11","2012, 1966."
"11","2012, ©1983."
"49","2012, ©1986."
"29","2012, ©1990."
"4","[2012], ©1994."
"42","2012, ©1994."
"13","[2012], ℗1995."
"3","©2012, ℗1995."
"24","2012, ©1996."
"27","2012, ©1997."
"4","[2012], ℗1998."
"10","2012, ©1998."
"34","2012, ©1999."
"1","[2012, 2000]"
"9","[2012], ©2000."
"56","2012, ©2000."
"8","[2012, 2001]"
"19","2012, ©2001."
"12","[2012], ©2002."
"7","2012, ©2003."
"16","2012, ©2004."
"9","[2012], 2005."
"10","2012, 2006."
"10","2012, ©2007."
"10","2012, ©2008."
"10","2012, 2008."
"8","[2012], 2009."
"12","[2012, [2010]"
"66","2012, ©2010."
"15","2012, 2010."
"17","[2012], ©2011."
"20","[2012], 2011."
"6","©2012, ©2011."
"134","2012, ©2011."
"3","2012, 2011."
"17","2012 ; [2012]"
"3","[2012, 2013]"
"2","[2012], ©2013."
"5","[2012, 2015]"
"15","©2012-2016."
"41","[2012, c1955]"
"2","2012, c1968."
"16","[2012, c1983]"
"92","[2012, c1985]"
"1","2012, c1986."
"1","[2012, c2004]"
"3","[2012, c2006]"
"2","[2012, c2009]"
"1","[2012], c2009."
"7","[2012, c2011]"
"224","2012, c2011."
"18","[2012], c2012."
"11","[2012, c2013]"
"84","[2012, i.e. 2011]"
"9","2012 London Toronto Sydney."
"10","[2012, p1972]"
"20","[2012], p1975]"
"1","[2012], p1979]"
"9","[2012, p1981]"
"9","[2012], p1981]"
"7","[2012], p1984]"
"8","[2012], p1987]"
"6","[2012, p1989]"
"12","[2012], p1989]"
"1","[2012], p1991]"
"16","[2012], p1992]"
"3","[2012, p1994]"
"6","[2012], p1994]"
"3","[2012, p1996]"
"11","[2012], p1997]"
"24","[2012, p2000]"
"10","[2012, p2005]"
"7","[2012, p2006]"
"78","[2012, p2007]"
"7","[2012, p2008]"
"31","[2012, p2010]"
"13","[2012], p2010]"
"34","[2012, p2011]"
"1","[2012], p2011]"
"283494","2013"
"2","[[2013]"
"18","[©2013]"
"12632","[2013-]."
"2519","[2013?]"
"14","[2013?]."
"5","[2013[]"
"134624","[2013]"
"129","[2013]-"
"26","[2013],"
"1479","[2013]."
"185","©2013"
"5","© 2013."
"1807","©2013."
"301","℗2013."
"99975","2013."
"3","2013.."
"5","2013]"
"15","[2013, 1967]"
"3","2013, ©1967."
"6","℗2013, ©1973."
"3","2013, 1977."
"11","[2013, 1986]"
"4","2013, 1991."
"3","2013, ©1994."
"7","[2013], ℗1996."
"11","2013, ©1996."
"3","2013, ©1998."
"41","[2013]. 1999."
"12","2013, ©1999."
"24","[2013, 2000?]"
"31","[2013, 2001]"
"11","2013, ©2001."
"21","2013, 2002."
"35","2013, ©2004."
"10","[2013], ©2005."
"14","[2013], ©2006."
"9","[2013], ©2007."
"15","[2013], ©2008."
"15","2013, ©2008."
"154","2013, 2008."
"6","[2013], ©2010."
"14","[2013], 2010."
"21","[2013]-2011."
"5","[2013], ©2011."
"5","[2013], 2011."
"1","[2013, 2012]"
"32","[2013], ©2012."
"83","[2013], 2012."
"350","2013, ©2012."
"42","2013, 2012."
"1","[2013], ©2013"
"249","[2013], ©2013."
"5","[2013, 2014]"
"2","2013, 2014."
"4","©2013, 2017"
"5","[2013], 2018."
"15","2013, c1930."
"1","2013, c1959."
"2","[2013], c1967."
"5","[2013], c1985."
"2","2013, c1986."
"26","2013, c1992."
"1","2013, c1993."
"11","[2013], c1999."
"4","[2013], c2000."
"11","2013, c2000."
"5","2013, c2001."
"16","[2013], c2004."
"2","2013, c2007."
"5","[2013], c2008."
"76","[2013], c2010."
"14","2013, c2010."
"1","[2013, c2011]"
"1","[2013], c2011."
"31","2013, c2011."
"2","[2013, c2012]"
"44","[2013], c2012."
"108","2013, c2012."
"67","[2013], c2013."
"30","[2013, [c2014]"
"4","[2013, c2014]"
"8","[2013], c2014."
"21","[2013], p1969]"
"7","[2013, p1974]"
"11","[2013], p1982]"
"14","[2013, p1983]"
"5","[2013], p1987]"
"15","[2013, p1997]"
"2","[2013, p1998]"
"12","[2013, p1999]"
"4","[2013, p2001]"
"8","[2013, p2010]"
"11","[2013, p2011]"
"4","[2013], p2011]"
"47","[2013, p2012]"
"13","[2013], p2012]"
"9","[2013, [that is, 2012]"
"258561","2014"
"8","[ 2014?]"
"47","[©2014]"
"3211","[2014?]"
"53","[2014.]"
"164543","[2014]"
"3265","[2014]."
"1190","©2014"
"1171","©2014."
"1","℗2014"
"240","℗2014."
"7","2014,"
"33","2014?]."
"102726","2014."
"9","2014]"
"25","[2014], ℗1973."
"4","©2014, ℗1973."
"13","[2014], ©1974."
"1","2014, ©1974."
"20","©2014, ℗1978."
"17","[2014, 1991]"
"17","[2014], ℗1993."
"5","2014, ©1997."
"22","[2014], ©1998."
"4","[2014], 2000."
"38","[2014], 2002."
"1","[2014], ©2004."
"2","2014, ©2004."
"3","[2014], ©2006."
"7","[2014], ℗2007."
"14","[2014], 2008."
"4","2014, ©2010."
"30","2014, ©2011."
"23","[2014], 2012."
"14","2014, ©2012."
"5","2014,[2012]"
"10","[2014, [2013]"
"3","[2014], ©2013."
"92","[2014], 2013."
"119","2014, ©2013."
"1","2014, 2013."
"13","℗2014, ©2014"
"11","2014-2015."
"5","2014, 2016."
"2","[2014], c1908."
"4","[2014, c1972]"
"10","[2014, c1973]"
"4","2014, c1977."
"6","[2014], c1984."
"5","2014, c1990."
"5","2014, c1994."
"27","[2014], c1998."
"3","[2014], c2001."
"69","[2014], c2002."
"5","[2014, c2003]"
"13","2014, c2003."
"7","[2014], c2004."
"2","2014, c2004."
"11","[2014], c2006."
"2","2014, c2006."
"4","2014, c2008."
"24","[2014], c2009"
"8","[2014], c2009."
"24","2014, c2009."
"62","2014, c2010."
"17","[2014], c2011."
"9","2014, c2011."
"1","[2014?], c2012."
"58","[2014], c2012."
"65","2014, c2012."
"235","[2014], c2013."
"6","2014, c2013"
"4","2014, [c2013]"
"155","2014, c2013."
"7","[2014], c2014."
"2","2014, ćop. 2014."
"8","[2014, p1983]"
"5","[2014], p1999."
"27","[2014, p2013]"
"25","[2014], p2013"
"1","[2014], p2013."
"21","[2014], p2013]"
"261433","2015"
"99","[ 2015]"
"925","[2015?]"
"11","[2015?]."
"204989","[2015]"
"1","[2015]-"
"48","[2015],"
"2791","[2015]."
"9","[2015]]"
"147","©2015"
"7","© 2015"
"17","© 2015."
"12","©[2015]"
"1193","©2015."
"13","℗2015"
"214","℗2015."
"18","2015 ."
"4","2015-"
"133346","2015."
"47","2015]"
"7","2015]."
"3","[20151]"
"28","[2015], ©1985."
"12","©2015, ℗1987."
"5","[2015?], 2004."
"1","2015 :. 2004."
"26","2015, ©2004."
"3","2015, ©2006."
"6","2015, ©2007."
"19","[2015], ℗2009."
"8","2015, ©2009."
"7","2015, [2011]."
"16","[2015], ©2014."
"6","[2015], ℗2014."
"5","[2015], 2014."
"4","2015, ©2014."
"57","© 2015-2016"
"21","©2015, ©2016"
"8","2015, 2016."
"8","[2015], c1979."
"6","[2015], c1984."
"11","2015, c1985."
"9","2015, c1989."
"90","[2015], c2001."
"5","2015, c2001."
"6","2015, c2003."
"14","[2015], c2005."
"12","2015, c2005."
"1","2015, c2006."
"12","2015, c2007."
"2","[2015], c2008."
"10","[2015], c2010"
"1","2015, c2011."
"11","[2015?], c2012."
"48","[2015], c2012."
"2","2015, c2012."
"124","[2015], c2013."
"5","2015, c2013."
"44","[2015], c2014"
"428","[2015], c2014."
"205","2015, c2014."
"69","2015 [distribution]"
"22","[2015, p1975]"
"14","[2015, p1991]"
"3","[2015, p2014]"
"22","[2015], p2014."
"1","[2015], p2014]"
"289494","2016"
